data,precos_correntes,valores_encadeados,num_indice,num_indice_sa
1996-01-01,189323,170920,96.84,99.55
1996-04-01,204611,176708.75,100.12,100.44
1996-07-01,221513,189844.26,107.56,104.38
1996-10-01,239316,184112.94,104.31,103.3
1997-01-01,219117,176732.25,100.13,104.32
1997-04-01,232890,185109.48,104.88,105.02
1997-07-01,246178,193244.9,109.49,106.33
1997-10-01,253904,190996.04,108.21,107.16
1998-01-01,235701,178512.96,101.14,105.07
1998-04-01,251936,187904,106.46,106.79
1998-07-01,258043,193932.08,109.88,106.86
1998-10-01,256671,188256.13,106.66,105.59
1999-01-01,250668,179883.35,101.92,105.92
1999-04-01,268709,187150.99,106.04,106.18
1999-07-01,274126,192737,109.2,106.37
1999-10-01,294208,192336.83,108.97,107.86
2000-01-01,276927,187799.48,106.4,108.98
2000-04-01,292789,194596.62,110.25,110.52
2000-07-01,308896,201534.66,114.19,111.8
2000-10-01,320481,201179.53,113.98,113.18
2001-01-01,312470,194325.69,110.1,113.64
2001-04-01,323724,199123.05,112.82,113.06
2001-07-01,332524,202464.13,114.71,112.45
2001-10-01,347038,200109.66,113.38,112.16
2002-01-01,342297,195252.46,110.63,114.74
2002-04-01,367363,203699.3,115.41,115.37
2002-07-01,379795,210916.41,119.5,116.82
2002-10-01,399333,210460.59,119.24,118
2003-01-01,397242,200459.9,113.58,117.48
2003-04-01,418987,205290.68,116.31,116.47
2003-07-01,439350,212237.13,120.25,117.59
2003-10-01,462372,211699.59,119.94,118.8
2004-01-01,444783,208233.9,117.98,120.47
2004-04-01,481795,218240.94,123.65,123.77
2004-07-01,505252,226157.35,128.14,125.34
2004-10-01,525920,224844.8,127.39,126.3
2005-01-01,499710,216947.08,122.92,127.22
2005-04-01,535557,228007.17,129.18,128.96
2005-07-01,552859,230940.53,130.85,128.01
2005-10-01,582458,229680.21,130.13,129.58
2006-01-01,554270,226230.46,128.18,131.83
2006-04-01,581977,233213.26,132.13,132.14
2006-07-01,617848,241316.2,136.72,134.28
2006-10-01,655355,240693.87,136.37,135.87
2007-01-01,631423,237982.43,134.84,138.61
2007-04-01,670655,248459.01,140.77,140.76
2007-07-01,691846,255482.07,144.75,142.19
2007-10-01,726339,256675.3,145.43,144.43
2008-01-01,712055,252635.97,143.14,146.05
2008-04-01,769525,264201.68,149.69,149.44
2008-07-01,812603,273316.79,154.86,151.64
2008-10-01,815620,259314.94,146.92,145.91
2009-01-01,756127,246506.89,139.67,143.85
2009-04-01,803577,258381.35,146.39,146.48
2009-07-01,852843,270139.07,153.06,149.91
2009-10-01,920492,273121.71,154.75,153.73
2010-01-01,886397,269207.94,152.53,157.19
2010-04-01,944145,280389.6,158.86,158.73
2010-07-01,997935,288798.01,163.63,160.36
2010-10-01,1057370,288660.51,163.55,162.57
2011-01-01,1016531,283193.61,160.45,164.86
2011-04-01,1086712,293569.32,166.33,166.49
2011-07-01,1112334,299013.79,169.41,166.13
2011-10-01,1160805,296073.31,167.75,167.49
2012-01-01,1129474,288028.28,163.19,165.33
2012-04-01,1183126,296465.3,167.97,168.18
2012-07-01,1230449,306445.54,173.63,171.07
2012-10-01,1271712,303424.2,171.91,171.1
2013-01-01,1241614,295865.9,167.63,171.83
2013-04-01,1322580,308388.73,174.73,174.73
2013-07-01,1354134,314900.22,178.42,175.32
2013-10-01,1413291,311096.98,176.26,175.53
2014-01-01,1385979,306130.21,173.45,177.06
2014-04-01,1422320,307046.09,173.97,174.4
2014-07-01,1462125,312888.68,177.28,174.36
2014-10-01,1508528,310386.78,175.86,175.25
2015-01-01,1456666,301174.23,170.64,174.04
2015-04-01,1479977,298633.11,169.2,169.52
2015-07-01,1508228,299550.59,169.72,167.02
2015-10-01,1550915,293252.16,166.15,165.7
2016-01-01,1500268,285693.26,161.87,163.04
2016-04-01,1559019,289016.73,163.75,163.95
2016-07-01,1577170,292199.57,165.55,162.96
2016-10-01,1632871,286631.62,162.4,162.61
2017-01-01,1585806,286522.9,162.34,164.44
2017-04-01,1630853,291312.88,165.05,165.66
2017-07-01,1648635,296991.9,168.27,166.17
2017-10-01,1720185,293973.35,166.56,166.86
2018-01-01,1681579,291881.76,165.37,167.76
2018-04-01,1733663,295939.95,167.67,168.04
2018-07-01,1767874,303107.23,171.73,169.56
2018-10-01,1821026,298719.59,169.25,168.98
2019-01-01,1759313,294929.79,167.1,169.61
2019-04-01,1828764,299767.6,169.84,170.73
2019-07-01,1880632,306442.44,173.62,170.82
2019-10-01,1920422,303031.68,171.69,171.39
2020-01-01,1845561,294560.09,166.89,167.2
2020-04-01,1722448,267589.79,151.61,152.54
2020-07-01,1888242,295084.26,167.19,164.58
2020-10-01,2011364,300231.45,170.1,169.7
2021-01-01,2065955,298350.44,169.04,171.54
2021-04-01,2140603,300500.01,170.26,171.17
2021-07-01,2215185,306899.4,173.88,171.28
2021-10-01,2257747,305183.95,172.91,172.41
2022-01-01,2249225,303390.79,171.89,174.13
